1,폴더,,010-0001-0001,1@abc.com,,,4,2021- 11- 19  00:00:00,2022- 01- 28  00:00:00
2,리더스원:다산북스,,010-0002-0002,2@abc.com,,,25,2021- 04- 16  00:00:00,2022- 01- 28  00:00:00
3,전나무숲,,010-0001-0002,3@abc.com,,,5,2021- 09- 12  00:00:00,2022- 01- 28  00:00:00
4,헬리오스,,010-0002-0003,4@abc.com,,,13,2021- 04- 15  00:00:00,2022- 01- 28  00:00:00
5,마음이음,,010-0001-0003,5@abc.com,,,26,2021- 06- 15  00:00:00,2022- 01- 28  00:00:00
6,소원나무,,010-0002-0004,6@abc.com,,,21,2021- 10- 19  00:00:00,2022- 01- 28  00:00:00
7,21세기북스,,010-0001-0004,7@abc.com,,,2,2021- 11- 25  00:00:00,2022- 01- 28  00:00:00
8,올리,,010-0002-0005,8@abc.com,,,3,2021- 01- 25  00:00:00,2022- 01- 28  00:00:00
9,다산에듀:다산북스,,010-0001-0005,9@abc.com,,,25,2021- 06- 17  00:00:00,2022- 01- 28  00:00:00
10,푸른역사,,010-0002-0006,10@abc.com,,,22,2021- 11- 21  00:00:00,2022- 01- 28  00:00:00
11,오월의봄,,010-0001-0006,11@abc.com,,,19,2021- 04- 07  00:00:00,2022- 01- 28  00:00:00
12,그레파이트온핑크,,010-0002-0007,12@abc.com,,,12,2021- 01- 13  00:00:00,2022- 01- 28  00:00:00
13,고래책빵,,010-0001-0007,13@abc.com,,,23,2021- 04- 28  00:00:00,2022- 01- 28  00:00:00
14,다산초당:다산북스,,010-0002-0008,14@abc.com,,,27,2021- 06- 09  00:00:00,2022- 01- 28  00:00:00
15,길벗어린이,,010-0001-0008,15@abc.com,,,8,2021- 07- 19  00:00:00,2022- 01- 28  00:00:00
16,좋은책신사고:좋은책어린이,,010-0002-0009,16@abc.com,,,11,2021- 03- 28  00:00:00,2022- 01- 28  00:00:00
17,21세기북스:북이십일,,010-0001-0009,17@abc.com,,,22,2021- 04- 03  00:00:00,2022- 01- 28  00:00:00
18,포레스트북스:콘텐츠그룹 포레스트,,010-0001-0010,18@abc.com,,,7,2021- 11- 05  00:00:00,2022- 01- 28  00:00:00
19,에프엔미디어,,010-0001-0011,19@abc.com,,,4,2021- 04- 01  00:00:00,2022- 01- 28  00:00:00
20,슈크림북,,010-0001-0012,20@abc.com,,,22,2021- 12- 19  00:00:00,2022- 01- 28  00:00:00
21,위즈덤하우스,,010-0001-0013,21@abc.com,,,8,2021- 01- 13  00:00:00,2022- 01- 28  00:00:00
22,미다스북스,,010-0001-0014,22@abc.com,,,29,2021- 02- 04  00:00:00,2022- 01- 28  00:00:00
23,비즈니스북스,,010-0001-0015,23@abc.com,,,2,2021- 03- 18  00:00:00,2022- 01- 28  00:00:00
24,탐나는책,,010-0001-0016,24@abc.com,,,2,2021- 05- 03  00:00:00,2022- 01- 28  00:00:00
25,책으로여는세상,,010-0001-0017,25@abc.com,,,30,2021- 06- 21  00:00:00,2022- 01- 28  00:00:00
26,페이지2(page2),,010-0001-0018,26@abc.com,,,18,2021- 04- 16  00:00:00,2022- 01- 28  00:00:00
27,호밀밭,,010-0001-0019,27@abc.com,,,24,2021- 03- 03  00:00:00,2022- 01- 28  00:00:00
28,오유아이,,010-0001-0020,28@abc.com,,,26,2021- 04- 10  00:00:00,2022- 01- 28  00:00:00
29,페이퍼로드,,010-0001-0021,29@abc.com,,,5,2021- 12- 27  00:00:00,2022- 01- 28  00:00:00
30,가문비,,010-0001-0022,30@abc.com,,,17,2021- 01- 03  00:00:00,2022- 01- 28  00:00:00
31,단비어린이:가치창조,,010-0001-0023,31@abc.com,,,22,2021- 09- 06  00:00:00,2022- 01- 28  00:00:00
32,특별한서재,,010-0001-0024,32@abc.com,,,21,2021- 03- 16  00:00:00,2022- 01- 28  00:00:00
33,단비어린이,,010-0001-0025,33@abc.com,,,28,2021- 12- 13  00:00:00,2022- 01- 28  00:00:00
34,유노라이프,,010-0001-0026,34@abc.com,,,29,2021- 11- 02  00:00:00,2022- 01- 28  00:00:00
35,삼호미디어,,010-0001-0027,35@abc.com,,,20,2021- 03- 21  00:00:00,2022- 01- 28  00:00:00
36,마인드빌딩,,010-0001-0028,36@abc.com,,,10,2021- 01- 11  00:00:00,2022- 01- 28  00:00:00
37,가나:가나문화콘텐츠,,010-0001-0029,37@abc.com,,,3,2021- 11- 10  00:00:00,2022- 01- 28  00:00:00
38,아이세움:미래엔,,010-0001-0030,38@abc.com,,,9,2021- 09- 06  00:00:00,2022- 01- 28  00:00:00
39,휴머니스트,,010-0001-0031,39@abc.com,,,6,2021- 01- 26  00:00:00,2022- 01- 28  00:00:00
40,행복에너지,,010-0001-0032,40@abc.com,,,15,2021- 07- 06  00:00:00,2022- 01- 28  00:00:00
41,메이트북스,,010-0001-0033,41@abc.com,,,29,2021- 12- 10  00:00:00,2022- 01- 28  00:00:00
42,다산북스,,010-0001-0034,42@abc.com,,,9,2021- 12- 04  00:00:00,2022- 01- 28  00:00:00
43,다산책방:다산북스,,010-0001-0035,43@abc.com,,,14,2021- 07- 21  00:00:00,2022- 01- 28  00:00:00
44,열다:열다북스,,010-0001-0036,44@abc.com,,,10,2021- 11- 27  00:00:00,2022- 01- 28  00:00:00
45,루나파인북스,,010-0001-0037,45@abc.com,,,21,2021- 07- 13  00:00:00,2022- 01- 28  00:00:00
46,창비,,010-0001-0038,46@abc.com,,,17,2021- 06- 28  00:00:00,2022- 01- 28  00:00:00
